transaction_id,date,product_id,customer_id,quantity,unit_price,total_amount,region,sales_rep,channel
TXN_001,2024-01-15,PRD_101,CUST_2847,2,29.99,59.98,North,Alice Johnson,online
TXN_002,2024-01-15,PRD_205,CUST_1923,1,149.99,149.99,South,Bob Chen,retail
TXN_003,2024-01-16,PRD_312,CUST_5671,3,19.99,59.97,East,Carol Davis,online
TXN_004,2024-01-16,PRD_101,CUST_3428,1,29.99,29.99,West,David Wilson,retail
TXN_005,2024-01-17,PRD_408,CUST_7892,5,9.99,49.95,North,Alice Johnson,wholesale
TXN_006,2024-01-17,PRD_205,CUST_1234,2,149.99,299.98,South,Bob Chen,online
TXN_007,2024-01-18,PRD_501,CUST_9876,1,299.99,299.99,East,Carol Davis,retail
TXN_008,2024-01-18,PRD_312,CUST_4567,4,19.99,79.96,West,David Wilson,online
TXN_009,2024-01-19,PRD_101,CUST_6543,2,29.99,59.98,North,Alice Johnson,retail
TXN_010,2024-01-19,PRD_408,CUST_3210,10,9.99,99.9,South,Bob Chen,wholesale
